,Price,Room,View Size,Age,Floortype,Location
10042,"
950 TL",1 + 1,"
45 m2",40 Yaşında, ,"
Maltepe,
 
Altayçeşme Mahallesi
"
10043,"
3.500 TL",3 + 1,"
155 m2",27 Yaşında, 2. Kat,"
Bakırköy,
 
Şenlikköy Mahallesi
"
10044,"
1.500 TL",3 + 1,"
110 m2",20 Yaşında, Kot 1,"
Kağıthane,
 
Harmantepe Mahallesi
"
10045,"
2.000 TL",2 + 1,"
110 m2",30 Yaşında, Giriş Katı,"
Kağıthane,
 
Sultan Selim Mahallesi
"
10046,"
2.299 TL",4 + 1,"
100 m2",30 Yaşında, 4. Kat,"
Üsküdar,
 
İcadiye Mahallesi
"
10047,"
1.300 TL",2 + 1,"
80 m2",30 Yaşında, 3. Kat,"
Kağıthane,
 
Sultan Selim Mahallesi
"
10048,"
16.000 TL",3 + 1,"
180 m2",Sıfır Bina, 5. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
10049,"
4.500 TL",1 + 1,"
85 m2",11 Yaşında, 8. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10050,"
7.800 TL",2 + 1,"
168 m2",2 Yaşında, 10. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10051,"
515.000 TL",2 + 2,"
120 m2",3 Yaşında, 3. Kat,"
Şişli,
 
Gülbahar Mahallesi
"
10052,"
22.500 TL",2 + 1,"
189 m2",8 Yaşında, 21 ve üzeri,"
Şişli,
 
Mecidiyeköy Mahallesi
"
10053,"
1.000 TL",2 + 1,"
85 m2",25 Yaşında, 1. Kat,"
Arnavutköy,
 
Durusu Mahallesi
"
10054,"
1.300 TL",3 + 1,"
110 m2",35 Yaşında, 2. Kat,"
Kadıköy,
 
Eğitim Mahallesi
"
10055,"
2.300 TL",1 + 1,"
72 m2",35 Yaşında, Zemin,"
Sarıyer,
 
Emirgan Mahallesi
"
10056,"
30.000 TL",4 + 2,"
330 m2",20 Yaşında, 4. Kat,"
Beşiktaş,
 
Akat Mahallesi
"
10057,"
30.000 TL",4 + 2,"
330 m2",20 Yaşında, 4. Kat,"
Beşiktaş,
 
Akat Mahallesi
"
10058,"
950 TL",1 + 1,"
60 m2",5 Yaşında, Bahçe Katı,"
Çekmeköy,
 
Merkez Mahallesi
"
10059,"
6.000 TL",1 + 1,"
65 m2",8 Yaşında, 4. Kat,"
Şişli,
 
Meşrutiyet Mahallesi
"
10060,"
10.000 TL",1 + 1,"
121 m2",15 Yaşında, 21 ve üzeri,"
Şişli,
 
Kuştepe Mahallesi
"
10061,"
15.000 TL",4 + 1,"
254 m2",Sıfır Bina, 8. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
10062,"
750 TL",2 + 1,"
20 m2",18 Yaşında, 1. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
10063,"
1.800 TL",2 + 1,"
95 m2",21 Yaşında, Yüksek Giriş,"
Fatih,
 
Mevlanakapı Mahallesi
"
10064,"
40.000 TL",5 + 2,"
321 m2",30 Yaşında, ,"
Beşiktaş,
 
Arnavutköy Mahallesi
"
10065,"
5.500 TL",1 + 1,"
75 m2",27 Yaşında, Zemin,"
Kadıköy,
 
Suadiye Mahallesi
"
10066,"
3.500 TL",3 + 1,"
180 m2",30 Yaşında, 2. Kat,"
Güngören,
 
Abdurrahman Nafiz Gürman Mahallesi
"
10067,"
2.000 TL",2 + 1,"
90 m2",40 Yaşında, Ara Kat,"
Sarıyer,
 
Maden Mahallesi
"
10068,"
4.500 TL",1 + 1,"
85 m2",Sıfır Bina, 5. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10069,"
55.000 TL",4 + 1,"
190 m2",31 Yaşında, 3. Kat,"
Beşiktaş,
 
Bebek Mahallesi
"
10070,"
1.650 TL",1 + 1,"
70 m2",2 Yaşında, Kot 1,"
Kağıthane,
 
Talatpaşa Mahallesi
"
10071,"
6.000 TL",3 + 1,"
100 m2",5 Yaşında, Yüksek Giriş,"
Kadıköy,
 
Osmanağa Mahallesi
"
10072,"
4.700 TL",1 + 1,"
85 m2",11 Yaşında, 5. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10073,"
2.850 TL",1 + 1,"
77 m2",Sıfır Bina, 7. Kat,"
Beylikdüzü,
 
Barış Mahallesi
"
10074,"
8.000 TL",1 + 1,"
70 m2",30 Yaşında, 6. Kat,"
Beyoğlu,
 
Cihangir Mahallesi
"
10075,"
3.300 TL",Stüdyo,"
45 m2",5 Yaşında, Yüksek Giriş,"
Beyoğlu,
 
Cihangir Mahallesi
"
10076,"
1.200 TL",2 + 1,"
90 m2",30 Yaşında, ,"
Şişli,
 
Yayla Mahallesi
"
10077,"
1.750 TL",2 + 1,"
90 m2",20 Yaşında, Giriş Katı,"
Kağıthane,
 
Ortabayır Mahallesi
"
10078,"
9.500 TL",3 + 1,"
161 m2",4 Yaşında, 8. Kat,"
Zeytinburnu,
 
Seyitnizam Mahallesi
"
10079,"
50.000 TL",4 + 1,"
300 m2",25 Yaşında, ,"
Büyükçekmece,
 
Celaliye Mahallesi
"
10080,"
2.811.000 TL",2 + 1,"
90 m2",40 Yaşında, 6. Kat,"
Beyoğlu,
 
Cihangir Mahallesi
"
10081,"
1.700 TL",3 + 1,"
110 m2",30 Yaşında, Bodrum ve Zemin,"
Üsküdar,
 
Zeynep Kamil Mahallesi
"
10082,"
2.600 TL",1 + 1,"
75 m2",26 Yaşında, 1. Kat,"
Fatih,
 
Şehremini Mahallesi
"
10083,"
6.500 TL",3 + 1,"
196 m2",3 Yaşında, ,"
Başakşehir,
 
Kayabaşı Mahallesi
"
10084,"
4.750 TL",1 + 1,"
85 m2",11 Yaşında, 6. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10085,"
13.500 TL",5 + 1,"
240 m2",27 Yaşında, Yüksek Giriş,"
Kadıköy,
 
Suadiye Mahallesi
"
10086,"
3.850 TL",3 + 1,"
174 m2",5 Yaşında, 10. Kat,"
Esenyurt,
 
Zafer Mahallesi
"
10087,"
3.000 TL",2 + 1,"
70 m2",40 Yaşında, 4. Kat,"
Beşiktaş,
 
Yıldız Mahallesi
"
10088,"
1.100 TL",1 + 1,"
55 m2",30 Yaşında, 3. Kat,"
Şişli,
 
Eskişehir Mahallesi
"
10089,"
1.900 TL",3 + 1,"
100 m2",10 Yaşında, Çatı Katı,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
10090,"
1.150 TL",1 + 1,"
40 m2",30 Yaşında, Kot 1,"
Beyoğlu,
 
Bülbül Mahallesi
"
10091,"
1.850 TL",1 + 1,"
70 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Ortabayır Mahallesi
"
10092,"
10.000 TL",4 + 1,"
220 m2",20 Yaşında, 1. Kat,"
Beşiktaş,
 
Etiler Mahallesi
"
10093,"
1.750 TL",3 + 1,"
125 m2",30 Yaşında, 2. Kat,"
Eyüpsultan,
 
Yeşilpınar Mahallesi
"
10094,"
2.750 TL",2 + 1,"
100 m2",30 Yaşında, 1. Kat,"
Küçükçekmece,
 
Gültepe Mahallesi
"
10095,"
2.500 TL",1 + 1,"
74 m2",4 Yaşında, 7. Kat,"
Küçükçekmece,
 
Atakent Mahallesi
"
10096,"
2.800 TL",2 + 1,"
110 m2",27 Yaşında, 5. Kat,"
Bahçelievler,
 
Bahçelievler Mahallesi
"
10097,"
3.500 TL",2 + 1,"
85 m2",Sıfır Bina, 4. Kat,"
Kartal,
 
Orhantepe Mahallesi
"
10098,"
1.800 TL",2 + 1,"
92 m2",Sıfır Bina, 4. Kat,"
Silivri,
 
Mimar Sinan Mahallesi
"
10099,"
2.500 TL",3 + 1,"
95 m2",20 Yaşında, 1. Kat,"
Maltepe,
 
Yalı Mahallesi
"
10100,"
3.950 TL",3 + 1,"
170 m2",31 Yaşında, 1. Kat,"
Şişli,
 
Merkez Mahallesi
"
10101,"
2.200 TL",2 + 1,"
95 m2",30 Yaşında, 7. Kat,"
Güngören,
 
Abdurrahman Nafiz Gürman Mahallesi
"
10102,"
2.350 TL",2 + 1,"
90 m2",19 Yaşında, Ara Kat,"
Zeytinburnu,
 
Telsiz Mahallesi
"
10103,"
3.200 TL",2 + 1,"
90 m2",15 Yaşında, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
10104,"
17.000 TL",4 + 1,"
247 m2",Sıfır Bina, 10. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
10105,"
3.000 TL",3 + 1,"
125 m2",38 Yaşında, 4. Kat,"
Fatih,
 
Seyyid Ömer Mahallesi
"
10106,"
1.350 TL",2 + 1,"
90 m2",20 Yaşında, 5. Kat,"
Ümraniye,
 
Namık Kemal Mahallesi
"
10107,"
1.850 TL",2 + 1,"
95 m2",15 Yaşında, 3. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
10108,"
4.000 TL",3 + 117,"
140 m2",30 Yaşında, 7. Kat,"
Güngören,
 
Abdurrahman Nafiz Gürman Mahallesi
"
10109,"
2.000 TL",1 + 1,"
70 m2",40 Yaşında, 3. Kat,"
Fatih,
 
Seyyid Ömer Mahallesi
"
10110,"
2.000 TL",1 + 1,"
35 m2",40 Yaşında, 4. Kat,"
Beyoğlu,
 
Şehit Muhtar Mahallesi
"
10111,"
1.500 TL",1 + 1,"
55 m2",75 Yaşında, 1. Kat,"
Beyoğlu,
 
Kamer Hatun Mahallesi
"
10112,"
2.550 TL",2 + 1,"
110 m2",30 Yaşında, 2. Kat,"
Bakırköy,
 
Zuhuratbaba Mahallesi
"
10113,"
5.200 TL",3 + 1,"
170 m2",36 Yaşında, 1. Kat,"
Kadıköy,
 
Erenköy Mahallesi
"
10114,"
5.000 TL",1 + 1,"
65 m2",16 Yaşında, 2. Kat,"
Şişli,
 
Meşrutiyet Mahallesi
"
10115,"
1.100 TL",1 + 1,"
65 m2",18 Yaşında, Giriş Katı,"
Kağıthane,
 
Talatpaşa Mahallesi
"
10116,"
950 TL",1 + 1,"
70 m2",30 Yaşında, Kot 1,"
Üsküdar,
 
Zeynep Kamil Mahallesi
"
10117,"
3.000 TL",3 + 1,"
105 m2",30 Yaşında, 3. Kat,"
Beşiktaş,
 
Cihannüma Mahallesi
"
10118,"
65.000 TL",7 + 1,"
450 m2",26 Yaşında, ,"
Beşiktaş,
 
 Levent Mahallesi
"
10119,"
9.000 TL",3 + 1,"
187 m2",6 Yaşında, 10. Kat,"
Zeytinburnu,
 
Sümer Mahallesi
"
10120,"
1.600 TL",1 + 1,"
55 m2",2 Yaşında, Çatı Katı,"
Şişli,
 
Mecidiyeköy Mahallesi
"
10121,"
10.000 TL",4 + 1,"
220 m2",20 Yaşında, 1. Kat,"
Beşiktaş,
 
Etiler Mahallesi
"
10122,"
3.250 TL",2 + 1,"
120 m2",30 Yaşında, 2. Kat,"
Fatih,
 
Cerrahpaşa Mahallesi
"
10123,"
2.800 TL",3 + 1,"
110 m2",35 Yaşında, 4. Kat,"
Fatih,
 
Seyyid Ömer Mahallesi
"
10124,"
4.250 TL",3 + 1,"
145 m2",5 Yaşında, Bahçe Katı,"
Beylikdüzü,
 
Dereağzı Mahallesi
"
10125,"
2.000 TL",2 + 1,"
88 m2",4 Yaşında, 8. Kat,"
Çekmeköy,
 
Sultançiftliği Mahallesi
"
10126,"
1.400 TL",2 + 1,"
85 m2",25 Yaşında, 2. Kat,"
Fatih,
 
Sümbül Efendi Mahallesi
"
10127,"
15.000 TL",5 + 2,"
360 m2",15 Yaşında, ,"
Başakşehir,
 
Bahçeşehir 2. Kısım Mahallesi
"
10128,"
2.750 TL",1 + 1,"
55 m2",50 Yaşında, 4. Kat,"
Beyoğlu,
 
Kuloğlu Mahallesi
"
10129,"
1.300 TL",1 + 1,"
75 m2",20 Yaşında, Giriş Katı,"
Kağıthane,
 
Harmantepe Mahallesi
"
10130,"
8.500 TL",4 + 1,"
200 m2",19 Yaşında, 9. Kat,"
Beşiktaş,
 
Etiler Mahallesi
"
10131,"
8.000 TL",1 + 1,"
100 m2",5 Yaşında, 4. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
10132,"
8.500 TL",3 + 1,"
180 m2",Sıfır Bina, 2. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10133,"
1.580 TL",2 + 1,"
100 m2",39 Yaşında, 4. Kat,"
Kadıköy,
 
Eğitim Mahallesi
"
10134,"
1.700 TL",2 + 1,"
85 m2",30 Yaşında, 2. Kat,"
Fatih,
 
Mevlanakapı Mahallesi
"
10135,"
4.000 TL",1 + 1,"
70 m2",4 Yaşında, Kot 1,"
Şişli,
 
Cumhuriyet Mahallesi
"
10136,"
2.000 TL",2 + 1,"
90 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
10137,"
1.250 TL",2 + 1,"
85 m2",5 Yaşında, 4. Kat,"
Esenyurt,
 
Mehterçeşme Mahallesi
"
10138,"
3.500 TL",3 + 1,"
140 m2",30 Yaşında, 1. Kat,"
Şişli,
 
Merkez Mahallesi
"
10139,"
7.000 TL",2 + 1,"
90 m2",30 Yaşında, 4. Kat,"
Fatih,
 
Haseki Sultan Mahallesi
"
10140,"
1.800 TL",3 + 1,"
135 m2",21 Yaşında, Yüksek Giriş,"
Silivri,
 
Alibey Mahallesi
"
10141,"
4.750 TL",2 + 1,"
100 m2",30 Yaşında, 3. Kat,"
Beşiktaş,
 
Ortaköy Mahallesi
"
10142,"
29.000 TL",2 + 1,"
200 m2",25 Yaşında, 3. Kat,"
Beşiktaş,
 
Ulus Mahallesi
"
10143,"
1.500 TL",1 + 1,"
80 m2",30 Yaşında, Giriş Katı,"
Kağıthane,
 
Gültepe Mahallesi
"
10144,"
1.500 TL",1 + 1,"
70 m2",20 Yaşında, 7. Kat,"
Sarıyer,
 
Fatih Sultan Mehmet Mahallesi
"
10145,"
7.500 TL",3 + 1,"
180 m2",28 Yaşında, Kot 1,"
Şişli,
 
Meşrutiyet Mahallesi
"
10146,"
1.500 TL",3 + 1,"
100 m2",20 Yaşında, 4. Kat,"
Şişli,
 
İzzet Paşa Mahallesi
"
10147,"
1.800 TL",1 + 1,"
55 m2",Sıfır Bina, 3. Kat,"
Kağıthane,
 
Yahya Kemal Mahallesi
"
10148,"
2.400 TL",3 + 1,"
130 m2",26 Yaşında, Kot 1,"
Maltepe,
 
Bağlarbaşı Mahallesi
"
10149,"
2.000 TL",2 + 1,"
75 m2",40 Yaşında, Ara Kat,"
Beyoğlu,
 
Firuzağa Mahallesi
"
10150,"
2.200 TL",2 + 1,"
115 m2",25 Yaşında, 2. Kat,"
Kağıthane,
 
Seyrantepe Mahallesi
"
10151,"
4.000 TL",4 + 1,"
270 m2",25 Yaşında, Villa Katı,"
Beykoz,
 
Tokatköy Mahallesi
"
10152,"
5.000 TL",1 + 1,"
60 m2",Sıfır Bina, 1. Kat,"
Esenyurt,
 
Cumhuriyet Mahallesi
"
10153,"
6.000 TL",1 + 1,"
85 m2",11 Yaşında, 15. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10154,"
2.600 TL",3 + 2,"
155 m2",25 Yaşında, 4. Kat,"
Esenler,
 
Fevzi Çakmak Mahallesi
"
10155,"
950 TL",1 + 1,"
60 m2",25 Yaşında, Yüksek Giriş,"
Kadıköy,
 
Eğitim Mahallesi
"
10156,"
1.600 TL",2 + 1,"
100 m2",20 Yaşında, ,"
Büyükçekmece,
 
Mimaroba Mahallesi
"
10157,"
3.000 TL",3 + 1,"
135 m2",25 Yaşında, 4. Kat,"
Ataşehir,
 
Yenişehir Mahallesi
"
10158,"
2.300 TL",1 + 1,"
50 m2",32 Yaşında, Bodrum,"
Beşiktaş,
 
Akat Mahallesi
"
10159,"
2.000 TL",2 + 1,"
80 m2",35 Yaşında, 2. Kat,"
Fatih,
 
Şehremini Mahallesi
"
10160,"
26.000 TL",2 + 1,"
160 m2",25 Yaşında, 2. Kat,"
Beşiktaş,
 
Ulus Mahallesi
"
10161,"
1.800 TL",1 + 1,"
60 m2",30 Yaşında, Kot 1,"
Beşiktaş,
 
Arnavutköy Mahallesi
"
10162,"
1.600 TL",2 + 1,"
100 m2",16 Yaşında, 1. Kat,"
Üsküdar,
 
Ünalan Mahallesi
"
10163,"
2.000 TL",2 + 1,"
80 m2",35 Yaşında, 1. Kat,"
Fatih,
 
Şehremini Mahallesi
"
10164,"
150.000 TL",6 + 2,"
860 m2",40 Yaşında, Bahçe Katı,"
Üsküdar,
 
Kandilli Mahallesi
"
10165,"
4.000 TL",1 + 1,"
63 m2",Sıfır Bina, 2. Kat,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
10166,"
2.750 TL",2 + 1,"
95 m2",30 Yaşında, 1. Kat,"
Beşiktaş,
 
Yıldız Mahallesi
"
10167,"
30.000 TL",8 + 3,"
800 m2",15 Yaşında, ,"
Büyükçekmece,
 
Türkoba Mahallesi
"
10168,"
3.000 TL",2 + 1,"
60 m2",20 Yaşında, 2. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
10169,"
2.750 TL",1 + 1,"
85 m2",30 Yaşında, Bahçe Katı,"
Şişli,
 
Cumhuriyet Mahallesi
"
10170,"
2.500 TL",3 + 1,"
135 m2",25 Yaşında, 1. Kat,"
Avcılar,
 
Merkez Mahallesi
"
10171,"
2.000 TL",1 + 1,"
75 m2",25 Yaşında, Giriş Katı,"
Sarıyer,
 
Tarabya Mahallesi
"
10172,"
2.250 TL",1 + 1,"
60 m2",25 Yaşında, Bahçe Katı,"
Sarıyer,
 
Kireçburnu Mahallesi
"
10173,"
1.200 TL",1 + 1,"
70 m2",25 Yaşında, Bahçe Katı,"
Şişli,
 
Halide Edip Adıvar Mahallesi
"
10174,"
1.500 TL",Stüdyo,"
20 m2",10 Yaşında, Ara Kat,"
Şişli,
 
Ergenekon Mahallesi
"
10175,"
2.500 TL",2 + 1,"
110 m2",7 Yaşında, 4. Kat,"
Esenyurt,
 
Turgut Özal Mahallesi
"
10176,"
1.500 TL",2 + 1,"
85 m2",20 Yaşında, Kot 2,"
Şişli,
 
Gülbahar Mahallesi
"
10177,"
1.800 TL",2 + 1,"
85 m2",40 Yaşında, 4. Kat,"
Bakırköy,
 
Yenimahalle Mahallesi
"
10178,"
1.000 TL",Stüdyo,"
22 m2",16 Yaşında, 3. Kat,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
10179,"
1.500 TL",2 + 1,"
80 m2",30 Yaşında, Yüksek Giriş,"
Fatih,
 
Mevlanakapı Mahallesi
"
10180,"
3.750 TL",1 + 1,"
65 m2",65 Yaşında, 3. Kat,"
Beyoğlu,
 
Kuloğlu Mahallesi
"
10181,"
1.260 TL",1 + 1,"
60 m2",35 Yaşında, 2. Kat,"
Kadıköy,
 
Eğitim Mahallesi
"
10182,"
6.000 TL",1 + 1,"
60 m2",25 Yaşında, Bahçe Katı,"
Şişli,
 
19 Mayıs Mahallesi
"
10183,"
2.000 TL",3 + 1,"
110 m2",40 Yaşında, Bahçe Katı,"
Üsküdar,
 
Barbaros Mahallesi
"
10184,"
2.850 TL",1 + 1,"
69 m2",4 Yaşında, 1. Kat,"
Küçükçekmece,
 
Atakent Mahallesi
"
10185,"
100.000 TL",16 + 3,"
3.751 m2",5 Yaşında, En Üst Kat,"
Silivri,
 
Ortaköy Mahallesi
"
10186,"
2.500 TL",3 + 2,"
190 m2",25 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Gültepe Mahallesi
"
10187,"
750 TL",1 + 1,"
60 m2",39 Yaşında, 13. Kat,"
Üsküdar,
 
Ünalan Mahallesi
"
10188,"
6.000 TL",2 + 1,"
140 m2",4 Yaşında, Yüksek Giriş,"
Eyüpsultan,
 
Güzeltepe Mahallesi
"
10189,"
4.000 TL",3 + 1,"
115 m2",35 Yaşında, 16. Kat,"
Bakırköy,
 
Yeşilköy Mahallesi
"
10190,"
8.750 TL",3 + 1,"
170 m2",11 Yaşında, 15. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
10191,"
2.850.000 TL",1 + 1,"
145 m2",1 Yaşında, 5. Kat,"
Beşiktaş,
 
Levent Mahallesi
"
10192,"
14.000 TL",2 + 1,"
171 m2",13 Yaşında, Giriş Katı,"
Şişli,
 
19 Mayıs Mahallesi
"
10193,"
2.500 TL",2 + 1,"
125 m2",4 Yaşında, Kot 3,"
Maltepe,
 
Zümrütevler Mahallesi
"
10194,"
3.250 TL",1 + 1,"
95 m2",5 Yaşında, Yüksek Giriş,"
Sarıyer,
 
Zekeriyaköy Mahallesi
"
10195,"
70.000 TL",4 + 1,"
130 m2",Sıfır Bina, 21 ve üzeri,"
Adalar,
 
Maden Mahallesi
"
10196,"
5.500 TL",Stüdyo,"
85 m2",3 Yaşında, Kot 1,"
Ataşehir,
 
Atatürk Mahallesi
"
10197,"
1.000 TL",3 + 1,"
155 m2",6 Yaşında, Yüksek Giriş,"
Küçükçekmece,
 
İnönü Mahallesi
"
10198,"
4.250 TL",2 + 1,"
95 m2",35 Yaşında, 2. Kat,"
Beşiktaş,
 
Konaklar Mahallesi
"
10199,"
2.300 TL",3 + 1,"
110 m2",45 Yaşında, 2. Kat,"
Fatih,
 
Şehremini Mahallesi
"
